Sentiment Label,Ratings,Feedback_PT
1,4,"Tudo está bem organizado com os vários quartos (para foto, exame de sangue, raio X, consulta do médico principal etc.), todos situados em torno da enorme sala de espera com a sequência que você deve seguir, comunicado a você no balcão de cobrança."
1,5,O pagamento do cartão é aceito.
1,3,"Embora o custo dos testes seja talvez apenas um pouco mais do que a outra opção (Elbit Diagnostics), a conveniência e o serviço mais do que compensam isso."
1,3,"Embora a reserva anterior de compromissos não seja necessária, você é aconselhado a ligar antes de vir porque os formulários para alguns países precisam ser impressos e trazidos com você (enquanto outros estão disponíveis lá)."
1,3,"O local pode ficar bastante lotado, por isso, se você deseja terminar com todas as formalidades em 1,5-2 horas, é melhor chegar lá antes das 8h30, quando o contador de cobrança abrir. Não se esqueça de escolher um token da máquina perto do balcão."
1,5,Estamos realmente satisfeitos com o serviço da Fortis. Não há ponto negativo sobre este hospital. Bem conservado e muito sistemático. A melhor parte é que seu tempo não será desperdiçado nem mesmo por 1 min. Obrigado pelos médicos e por todos os outros trabalhadores.
1,4,"Tive uma visita de emergência ao hospital com meu pai, hospitalizado por alguns dias devido a uma cirurgia. Os médicos e funcionários do hospital tomaram o máximo cuidado. A melhor parte do hospital é que a equipe segue seus processos e protocolos tão bem."
1,5,Tivemos uma ótima experiência com o hospital.
1,5,"Dr. Jawali e sua equipe foram muito impressionantes não apenas para a cirurgia e procedimento, mas também após o seguimento do paciente e garantindo que ele estava se sentindo absolutamente."
1,5,Agradeceria também às enfermeiras da UTI e às enfermeiras da ala e a todos os diferentes Dr.s que estavam envolvidos em garantir que meu pai se recuperasse. Muito obrigado !!!
1,4,Grande cuidado tomado pela equipe e pelo hospital !! Menção especial ao Dr. Vivek Padegal e Dr. Ashish Parekh. Graças à enfermeira enérgica e charmosa Jacqueline para cuidados especiais tomados durante o tratamento !!
1,5,Dr. Ravindra e Team foi excelente.
1,5,O tratamento dado ao Partient foi impecável! Todos os funcionários são muito reconhecidos por sua dedicação e bondade dadas ao paciente por toda parte.
1,4,"Intensidade gratidão a toda a equipe da Fortis por garantir meu bem-estar, garantindo conforto e recuperação rápida."
1,5,Obrigado mais uma vez por seu excelente serviço e compromisso com a excelência. O papel e os esforços de cada um são muito apreciados.
1,5,O Dr. Narayan Hulse é um médico incrível. Os enfermeiros também são muito humildes e atenciosos.
1,5,Meia -noite também eles são muito rápidos e ativos. Eles estão presentes perto do paciente sempre que necessário.
1,5,Serviço de alimentação também é muito bom. Os empregados estão fazendo seu trabalho com eficiência. O hospital é muito limpo.
1,4,"Minha co-irmã, 81 teve uma substituição do joelho durante a Covid. Pós -cirurgia teve complicações que a dor não diminuiu. Ela ficou totalmente acamada."
1,5,Conhecemos o Dr. Narayan Hulse em Fortis para sua opinião. Ele nos deu 100% de garantia e a operou.
1,5,"Ela anda agora independentemente, é claro, com Walker. Ela é sempre grata a ele. Obrigado a um médico por dar a ela outra vida."
1,3,Eles reservam mais compromissos do que capacidade. Minha esposa foi fazer check -up em Fortis e meu amigo foi para Hiranandani em Mumbai. Começou ao mesmo tempo às 8 da manhã hoje. Amigo terminou o processo às 11:30. A esposa terminou às 16h. Evite o check -up de saúde mestre.
0,1,Não vá comprar o nome do hospital.
0,2,Pior experiência quando fomos para o check -up de saúde do corpo inteiro ..
0,1,Não vá comprar o nome do hospital.
0,2,"Eles não se importam ... a única coisa que eles se importam é dinheiro. Uma vez que o dinheiro está em sua conta bancária, você está por conta própria."
0,1,A equipe para o check -up de saúde é pior e não sabe como gerenciar as pessoas e dar orientação adequada.
0,1,"Se você disser que não tem nenhum problema visível, eles terminarão o exame em menos de um minuto e o enviarão para servir o próximo cliente."
0,2,"Serviço ruim, desorganizado, sem valor para o tempo das pessoas e muito caro."
0,1,"Depois de cobrar uma bomba pelos pacientes, eles não têm sistema."
0,2,"Marcar uma consulta é uma piada, pois você nunca pode fazer as coisas de acordo com a hora da consulta."
0,2,Eles esperam que as pessoas fiquem desempregadas ou em licença indefinida enquanto visitam o hospital para tratamento.
0,1,"A estrada do lado de fora do hospital está cheia de lixo e buracos sujos, a administração do hospital deve assumir alguma responsabilidade de torná-lo possível para os pacientes e suas famílias."
0,2,Peguei um pacote abrangente de check -up de saúde aqui com uma data e hora de consulta. A duração total que deveríamos esperar foi de 5-6 horas.
1,3,Eu sugiro que simplesmente não vá pelo nome. Existem muitos laboratórios locais que fornecem serviços muito melhores em menos taxas. Experiência verdadeiramente horrível e inesperada no Fortis.
0,1,Meu sincero apelo para um melhor atendimento ao paciente: uma experiência angustiante no Fortis Hospital
1,3,"Por favor, exiba poucas placas na entrada do hospital e também no departamento de emergência"
1,3,Afirmando que este hospital não é para pessoas de classe média
1,5,Bom hospital e médicos também são bons e tomam cuidado com a super paciência. Eventhing é super no hospital 🎉…
1,5,Hospital muito bom e atendimento.excelent Services. Feliz com Fortis
1,4,O Dr. Harsha forneceu um tratamento incrível. Os enfermeiros do turno da noite são úteis. O gerenciamento geral foi muito bom.
1,3,Deve visitar o Dr. Suresh Babu para quimioterapia
1,5,Dr. Gayathri Kamath é um médico muito bom. Muito confiável em quem você pode acreditar. Um bom serviço em Fortis. Ela fez com que todas as minhas complicações de gravidez nada o que o deixassem suave e me ajudou a me recuperar muito mais rápido.
1,4,Dr. Vivek Belatur O tratamento é super. O tratamento da quimioterapia correu bem e suave. Feliz com o Fortis e seus serviços.
1,5,Meu pai foi tratado sob a supervisão do Dr. Adil Hasaan e do Dr. Suresh Babu Sir.
1,5,"O serviço prestado aqui é bom com funcionários muito profissionais e amigáveis. Os médicos eram muito profissionais, experientes e responsáveis."
1,4,Agradecimentos especiais a Kavita por toda a orientação e apoio que ela nos forneceu até agora.
1,5,Filas longas e muito agressivas e excessivas. Tente evitar e ser feliz……
0,1,Uma equipe tão pior deste hospital.
0,1,"Eles estão cobrando demais por uma coisa pequena e a coisa mais importante é a equipe de segurança da Unka, jofrão do hospital apko se jyada inquérito karte hai n muito comportamento rude como um loafer na beira da estrada"
1,5,"O plano geral da digne, o plano de terapia e o gerenciamento da betra da OPP foi super excelente e tem uma recuperação completa sem complicações pós -OPP, apesar de terem uma condição de saúde complexa antes da cirurgia."
1,4,"Toda a equipe dos médicos, Dr. Gayathri, da Gynecology, Dr. Sharath Chandra, da Cirurgia e o Dr. Sudha, da Medicina Interna, o Dr. Shwetha da Ginecologia e da equipe de enfermagem, deu o melhor tratamento e excelente apoio psicológico para nós."
1,5,"Eles estavam conosco a cada etapa planejando o melhor tratamento para mim e também dando confiança e apoio mental, que nos sentimos caseiros."
1,5,"Essa equipe de médicos era um serviço muito amigável, acessível, orientado a serviços e altruísta e extremamente profissional. Mais uma vez um grande agradecimento do fundo do nosso coração"
1,4,"Dr. Mohan Keshavamurthy e Equipe Todos os médicos, todos os funcionários de enfermagem, especialmente a equipe do 6º andar, Jeena Davis Supervisor de Enfermagem ... Agradecemos a cada um pelo seu apoio ..."
1,5,Sempre bom
1,4,"Dr. Manisha Rajpal Singh tratado para laparoscopia, histeroscopia, dilatação e curetagem, cauterização cervical, excisão bilateral de endometrose ovariana. Viemos de Bangladesh especificamente para consultar o médico."
1,5,"O médico é muito profissional, atencioso. Dr. Roopa da equipe também. Os cuidados de enfermagem são excelentes. Higiene por equipes de suporte"
1,5,Eu fiz o check -up de saúde da imigração aqui no Fortis Hospital Bannargetta ..
1,4,"Foi uma experiência incrível e funcionários úteis, especialmente a sra. Poornima, Manjula Ans Santhosh"
1,5,Visitamos o hospital para substituição do joelho para minha mãe e o Dr. Narayan Hulse a tratou muito bem e explicou os detalhes minuciosos também.
1,5,"Depois que a cirurgia é concluída, minha mãe se recuperou bem e graças a Narayan Hulse e à equipe que tratou bem e junto com a fisioterapia, enfermagem e departamento de manutenção de casas."
1,4,Excelente tratamento em Fortis Bannergatta. O tratamento do Dr. Anil Kumar Kustagi fez meu filho acima e acima. As equipes de enfermagem são excelentes.
1,5,O Dr. Mohan Keshavamurthy operava para pedra nos rins com tratamento a laser. Os serviços gerais de tratamento são bons. Os funcionários da noite de enfermagem eram muito atenciosos.
1,5,Tive uma experiência melhor no tratamento de minha mãe no Fortis Hospital pelo Dr. Shashidhara
1,4,Sentir curvar -se ao Dr. Narayan Hulse. Ele é um ótimo médico. Estou relaxado quando ouvi dele sobre a cirurgia.
1,5,"Muito obrigado ao Dr. Narayan Hulse. Enfermando Mahalakshmi, Shalini, Nivetha muitos mais compareceram a mim. Muito carinhoso. A equipe de fisioterapeuta é excelente em seu trabalho."
1,4,"O Dr. Mohan Keshavamurthy fez minha cirurgia. Enfermeiros, incluindo Josena, Parimala, são muito atenciosos."
1,5,Os cuidados e hospitalidade oferecidos pela equipe (de todos os departamentos) e Fortis como um todo são excelentes.
1,5,"Mais importante ainda, o médico que tratava o Sr. Ravindra BS e todo o Departamento de Gastroenterologia foram eficazes no diagnóstico do problema de saúde adequadamente."
1,4,"O tratamento dado pelo Dr.Ravindra e pela equipe trouxe muitas melhorias em minha saúde e capaz de lidar com minha vida como uma pessoa muito saudável e confiante. Obrigado novamente por tudo. Por favor, continue com o bom trabalho !!"
1,5,Dr. Shabeer Ahmed é um médico muito bom. Ele explicou tudo para nós claramente e um tratamento incrível foi fornecido
1,4,"Meu marido está bem. A CRM é feita pelo Dr. Vivek Jawali e Team Dr. Murali Manohar, Dr. Sudarshan, Dr. Nikhil."
1,5,"Feliz com muito bom serviço por médicos e equipes de equipes da UTI são excelentes. Polina, Prafulla, Priya Toi são excelentes. Muito obrigado às equipes de apoio também."
1,5,Dr. Ravindra é sem dúvida um médico incrível. A eficiência do tratamento ajudou a curar meus problemas de saúde. Os enfermeiros também estão prestando um bom serviço.
0,1,A revisão é para check -up de saúde mestre.
0,2,Fluxo de pacientes mal gerenciados.
0,2,Eles reservam mais compromissos do que capacidade.
0,1,Minha esposa foi fazer check -up em Fortis e meu amigo foi para Hiranandani em Mumbai. Começou ao mesmo tempo às 8 da manhã hoje. Amigo terminou o processo às 11:30. A esposa terminou às 16h. Evite o check -up de saúde mestre.
1,5,Excelentes instalações e serviços médicos.
1,4,Dr. Ravindra é sem dúvida um médico incrível. A eficiência do tratamento ajudou a curar meus problemas de saúde. Os enfermeiros também estão prestando um bom serviço.
1,5,"Consultamos o Dr.Sudarshan G T, eles nos trataram muito bem. Estamos felizes com o serviço hospitalar."
1,4,O Dr. Vivek Belathur é um oncologista muito bom. Feliz com seu tratamento. Kavitha Madame é muito útil e gentil.
1,5,"Feliz em ser tratado pelo Dr. Vivek Belathur, o melhor oncologista de Bangalore. Seu cuidado com o paciente é maravilhoso."
1,5,Todos os funcionários carinham e responsáveis.
1,5,Eu tenho visitado para tratamento de câncer. O Dr. Suresh Babu está coordenando o tratamento e a experiência com o médico e o hospital tem sido bom.
1,4,Boa resposta do Doctor and Staff TQ
1,4,"Diagnóstico, tratamento e cuidado são bons"
0,1,Hospital sem esperança. Não sei como eles conseguiram JCI e Nabh. Eles não têm valor para os pacientes ou o tempo de seus atendentes.
0,2,"Recepcionistas só querem dinheiro. Eles não se importam se o médico estiver 2 horas atrasado, mas dão dinheiro a eles."
0,1,"Eu fui para o meu pai. Ele tem traqueostomia e todos os problemas. Eles o fizeram esperar por 1 hora, disse esperar se você quiser ou ir."
0,1,"Liguei para eles para marcar uma consulta, solicitei um médico sênior e procurei seus anos de experiência, eles não querem compartilhá -lo, a transparência não está lá. Quando liguei para o Appolo, eles dão todos os detalhes, a experiência e me sinto confortável ao escolher o médico. Fortis, PLS têm transpeência e está certo de um paciente."
0,2,Eu estava tendo problemas relacionados à menopausa e fui ver um ginecologista.
0,1,"Ei, me manteve esperando até as 16h e depois de vários pedidos, eles me deixaram vê -la. Foi lamentável que eu tenha ido para um check -up e com esse ginecologista bastante rude e muito arrogante."
0,1,Não deu anestesia e esfaqueou diretamente (esta é a palavra certa) minha vagina. Aconteceu 8 anos de volta.
0,2,"Após esse incidente, perdi a sensibilidade nessa parte. Eu poderia ter deixado o hospital sem vê -la se o hospital não tivesse cobrado a taxa antecipadamente."
0,1,"É uma prática ruim para o hospital cobrar a taxa com antecedência. Portanto, os pacientes ficam alertas ao selecionar seu médico."
1,3,Nem todo corpo é assim. Estou ocupado todos esses anos e agora tenho tempo livre e pensei em compartilhar minha experiência
1,5,Alguns dos médicos são muito bons ...
1,3,"Mas alguns deles são realmente terríveis, especialmente os que estão em emergência."
0,1,"Eu tinha um repo muito bom para os hospitais da Fortis, mas não mais ... eles são bons para si mesmos para ganhar dinheiro para eles empregando esses médicos ..."
0,2,"E caminhar do estacionamento para o hospital parece uma masmorra, sob tubos de chocalho ao lado de salas de bomba e o que não. Verdadeiramente assustador."
1,3,"Além disso, a taxa mínima de estacionamento de ₹ 60 foi pura. Eu mal saí do carro por 5 minutos lá e ainda tinha que pagar 60."
0,2,"O serviço administrativo é tão irresponsável para o departamento ortopédico, apesar de coletar token que não me cobraram para as horas."
0,2,"Fiz uma consulta para as 11h e agora suas 12h30, mas ainda não tive que ver o médico, as mulheres na recepção são tão rudes que não se importam se o paciente está sofrendo devido ao atraso no faturamento. Eles trabalham tão lentamente que o paciente tem que esperar por tanto tempo."
0,2,"Dr. Rajpal no Departamento de Cardiologista, todo o Hospital da Fortis e o aplicativo Myfortis é uma farsa total. Eles receberam as taxas de compromisso, mesmo quando a consulta foi cancelada, eles não reembolsaram o valor de volta. De 12 de julho a novembro, não recebi o reembolso."
0,2,"Quero dizer, se você é tão retroxumido e analfabeto que nem conhece o extrato da conta em PDF e a caderneta física mostraria os mesmos registros, por que você está tentando obter um aplicativo para o seu hospital."
0,2,"Pior hospital. Simplesmente saqueando pessoas com cargas muito altas. Em emergência, havia apenas 1 enfermeira que não foi capaz de lidar com tudo. No faturamento, há apenas uma pessoa sentada, causando inconvenientes à enorme fila. Só vá para lá se você tiver muito dinheiro."
0,1,Altamente decepcionado pelo serviço de segurança muito arrogante para todos os valores mobiliários e contador de admissão são muito desperdiçados para suporte ao cliente que não recebem soluções para a reserva de reserva de cobrança Ram é muito descuidado para os clientes que não recebem soluções adequadas.
0,2,"Paguei quase 20 falta no último ano, mas na semana passada estou muito decepcionada por contador de admissão e gerente de cobrança e valores mobiliários ...."
0,1,Um dos piores hospitais em toda a Índia. Os médicos visitam para o paciente apenas uma vez por dia com o conhecimento não sentido. Enfermeira e administração não profissionais que tratam pacientes como materiais. As despesas são patéticas que leva 50 mil apenas para investigação do paciente.
1,5,"Por último, mas não menos importante, o Dr. Balaji e o Dr. Ravindra foram excelentes e merecem trabalhar em um hospital melhor que valoriza melhor os pacientes."
0,2,Um dos piores hospitais com um ou os piores serviços.
0,2,"Eles não se importam com os pacientes, tudo o que se preocupam é dinheiro. Eu queria fazer alguns exames de sangue, tentei entrar em contato com o departamento de check -up de saúde, mas ninguém respondeu. Quando ligarmos para o atendimento ao cliente, eles dizem que ligue para o departamento de check -up de saúde. Eu tinha feito pelo menos 15 ligações e saí sem uma resposta."
0,1,"Como era importante que o teste fosse feito apenas neste hospital em particular, fui lá, que fica a cerca de 8 km da minha casa para receber uma consulta, mas lá também recebi um número de contato. Novamente, que ninguém pegou."
0,2,"Um dos piores hospitais em que minha mãe foi admitida que estava tendo fração de ejeção do coração de 35℅, mas eles deram informações falsas dizendo 15℅ no relatório e o cardiologista Doutor Venkatesh nos ligou para perguntar sobre nossas informações financeiras."
0,1,"Os médicos parecem se preocupar mais com os seguintes procedimentos administrativos, em vez de a cura. A farmácia não é eficiente e não vende medicina de acordo com a dose. Eles só se preocupam em maximizar o lucro com a venda de medicamentos em plena faixa, em vez de quanto os pacientes precisam!"
0,2,"Serviços muito ruins. Fiz minha cultura de sangue em 9 de junho de 2023. Até agora não há relatos. Também fui admitido, devo dizer, é um dos hospitais mais patéticos. Os médicos não vêm. As enfermeiras devem ser lembradas para dar remédios. A comida é patética, fede. Pense duas vezes."
0,1,"Fui para um serviço de equipamentos no hospital, os segurança no portão dos fundos não são profissionais."
0,2,Altamente decepcionado pelo serviço de segurança muito arrogante para todos os valores mobiliários e contador de admissão são muito desperdiçados para suporte ao cliente que não recebem soluções para a reserva de reserva de cobrança Ram é muito descuidado para os clientes que não recebem soluções adequadas.
0,1,"Paguei quase 20 falta no último ano, mas na semana passada estou muito decepcionada por contador de admissão e gerente de cobrança e valores mobiliários ...."
1,5,Conheceu o Dr. Niti Raizada para o tratamento de micose fungoids. A equipe nos atendeu muito bem. Meu marido teve infecção secundária e foi bem cuidado. Os serviços de enfermagem e a hospitalidade foram muito bons.
1,5,Todos os serviços são bons. Médicos e enfermeiros são muito bons. O Dr. Mohan Keshavamurthy é um incrível DoctorNurse Joseena nos ajudou sempre que precisávamos. O hospital é limpo e bem conservado.
1,5,"O Dr. Rajpal Singh e o Dr. Jyothi são os melhores médicos. Eles trouxeram fé em nós. Sua abordagem em relação a nós é humana e está disponível regularmente, mostrando -nos o máximo cuidado. Acima de todos, teve uma experiência muito agradável. Tudo é bem mantido. Grato a todas as enfermeiras que me ajudaram a me recuperar."
1,5,"O Dr. Prasanth Kesari trata bem o paciente e operou muito bem a lesão dos dedo das minhas filhas e estamos satisfeitos com a enfermeira Anju, Sneha, Anshu, Dhaya foram muito gentis e atenciosos."
1,5,"O Dr. Ajay Rao é um excelente oncologista. Ficamos impressionados com seu tratamento e cuidados prestados à minha mãe. Os serviços de enxerto são maravilhosos por Ankamma e Sai Rahithya. Todas as equipes aqui são muito solidárias mentalmente, especialmente a sra. Kavitha (SLM). nós em todas as etapas do tratamento."
1,5,"O Dr. Shivananda Patil é extraordinário .... 3º andar ICU Bro Manikandan D, Sis Soumya são excelentes. Enfermeiros, equipes de limpeza na UTI e 6º andar estão fazendo um bom trabalho. Obrigado pelo seu serviço maravilhoso. Obrigado, Dr. Shivanand Patil, senhor."
1,5,Dr. Sheela Chakravarthy é como o médico da família MU. Sempre a consultamos sobre quaisquer problemas da minha família. Muito gentil e gentil. As equipes de enfermagem são extremamente úteis e pontuais. Tudo correu bem. Obrigado ao Doctor e sua equipe.
1,5,O Dr. Naveen D é um médico realmente experiente. A substituição do joelho da minha mãe feita por ele. Ele foi feito um bom trabalho. Estamos muito satisfeitos com sua equipe. Obrigado senhor pelo seu excelente atendimento e apoio da equipe
1,4,O tratamento do Dr. Suresh Babu é muito bom. Viemos para o tratamento da creche quimioterapia. Os serviços são excelentes e estamos muito felizes. Os funcionários são muito cooperativos e gentis. Feliz com Fortis.
1,4,O Dr. Manish Joshi e o Dr. Shashikiran trataram meu marido. O tratado fornecido a ele é muito útil para ele se recuperar. A equipe de enfermagem também é muito atenciosa.
1,5,"Meu pai fez uma cirurgia colorretal e da vesícula biliar realizada pelo Dr. Shabbir Ahmad, e todos ficamos impressionados com sua paciência e natureza atenciosa."
1,5,"O Dr. Anil Kumar Anand Kustagi forneceu um tratamento incrível que ajudou a se recuperar em breve. As enfermeiras, particularmente a teena, cuidou de nós com muito cuidado."
1,4,A música Savios mudou o humor e fez o estresse menos. Obrigado pela música. Obrigado pelo Dr. Nagabhusan Sir e Dr. Divya Madame para nos apoiar.
1,5,"Estou muito impressionado com o Dr. Narayan Hulse. Muito atencioso, inteligente, compassivo em relação ao seu trabalho. Ele me deu confiança para passar por uma substituição bilateral do joelho, então eu fiz e estou muito feliz com minha decisão. Grande personalidade."
1,4,Dr. Raju G H aconselhado tratado por pedra da vesícula biliar. Ele é um excelente médico com humanidade. As equipes de enfermagem no 6º andar são muito atenciosas. O processo é muito rápido comparativo com outros hospitais.
1,5,Dra. Manisha Rajpal Singh Ela é muito inteligente. Nós realmente apreciamos sua bondade e comasionados!
1,5,Ela possui a habilidade necessária para aqueles que sofrem de endometriose. Sua flexibilidade para se adaptar ao tratamento. Ela nos dá coragem!
1,5,Esse feedback é a expressão de minha gratidão e experiência que pode ser benefício para os pacientes e suas famílias.
1,4,"Os serviços hospitalares são muito bons. Hospital extremamente bem conservado, com uma excelente equipe de médicos com uma abordagem humana em relação aos pacientes, que não deixam pedra sobre pedra para um paciente e permanecem ao seu lado na jornada para a recuperação."
1,5,"No geral, teve uma experiência muito boa e se sentir em casa. Cada equipe cuidou muito de mim. Sou muito grato a todos os funcionários que me ajudaram a me recuperar, tratando -me com o máximo cuidado."
1,4,"Fortis é um hospital muito confiável, onde todo paciente que visita o hospital é tratado como uma família. Deseje à equipe um grande sucesso, um futuro brilhante e boa velocidade."
1,5,"Toda a minha experiência de gravidez no Fortis foi fenomenal. Do pré -natal à entrega, minha experiência de ser uma mãe pela primeira vez foi a experiência mais memorável. Obrigado, Gayatri D Kamath e Team por tornar o dia mais feliz da minha vida ainda melhor !!"
1,5,Excelente serviço. Tudo é bem cuidado pela equipe aqui. A comida também é boa. Quartos muito bem mantidos. Estou totalmente satisfeito com os tratamentos e hospitalidade neste hospital. Muito obrigado equipe da Fortis.
1,4,"Dr. Sheela é um médico muito profissional e experiente. Boas instalações e a equipe também é boa. No entanto, durante as autorizações de seguro, você pode ter que enfrentar um pequeno problema. No geral, um hospital muito bom com ótimas instalações."
1,5,"O Dr. Raju Sir e Team são muito bons, e o serviço de todos os funcionários é muito bom. As instalações no hospital são excelentes e precisas."
1,4,Vi para uma cirurgia no ouvido para meu irmão sob o Dr. Athira Ramakrishnan. Ela havia dado um excelente tratamento.
1,5,"Ela teve uma comunicação eficaz com o paciente e explicou tudo minuciosamente. Os serviços de enfermagem eram muito bons, estando disponíveis o tempo todo. Muito feliz com os serviços prestados pelas equipes de apoio também. Todas as equipes desempenharam seus deveres muito bem. Obrigado a todos."
1,5,"Médicos e Hospital recomendados para cirurgias cardíacas. Dr. Vivek Jawali, Dr. Murali Manohar, Dr. Nikhil são médicos da equipe Excelkent. Suraksha, Alida, Aneesha, as equipes de apoio são extremamente carinhosas. A comida é higiene e oportuna."
1,5,O Dr. Usha B R é muito bem experiente e conhecedor. Ela trata os pacientes como seus amigos. Construa essa confiança e vínculo com os pacientes para torná -los confortáveis.
1,4,Boa experiência geral com ela. Creche Todas as equipes de enfermagem são muito atenciosas e sempre disponíveis. Obrigado ao Dr. Usha e sua equipe.
1,5,O Dr. Shabeer Ahmed forneceu tratamento imediato e isso me ajudou a me recuperar. Os enfermeiros também são muito bons. Eles são muito úteis e humildes.
1,4,"Muito satisfeito com o Dr. S S Praharaj. Bem, fizemos minha cirurgia. Super equipes de enfermagem. De manhã até a noite, eles tomaram cuidado com muita eficiência. Quando pressionarmos o sino de chamada, eles sempre virão imediatamente. Equipe de comida e limpeza sempre a tempo. Bom serviço geral."
1,5,"O Dr. Usha B R é amigável e analise a condição médica com muita eficiência. Ela se cuidou muito bem. As equipes de enfermagem são muito muito cooperativas, obrigado à irmã Shalini. Gostamos muito do ambiente e esperamos pelos melhores resultados. Obrigado a todos."
1,5,"O tratamento foi muito bom do hospital. Eles nos guiaram em cada etapa. Os médicos, incluindo Gayathri Kamat e Swetha Mam, são realmente bons e atenciosos. Foi bom fazer o tratamento em Fortis,"
1,4,Dr. Sudha Vinod Menon é um médico incrível. Ela nos explicou tudo corretamente. Todas as enfermeiras são muito boas e atenciosas
1,5,Minha esposa foi admitida recentemente por uma emergência enquanto espera. E estamos extremamente satisfeitos com todos os serviços prestados por médicos e enfermeiros desde o departamento de emergência até nossa alta
1,5,Agradecimentos especiais ao Dr. Chaitra e ao Dr. Mangala por uma abordagem completa de check-up e tratamento diligente durante esta visita.
1,4,"Visitei o Dr. Usha do Departamento de Ginecologia da Fortis Bannerghatta. O diagnóstico foi adequado e teve que ir uma cirurgia menor posteriormente. Fui bem tratado por todos os médicos e enfermeiros, todos foram realmente corporativos e prestativos."
